stock_name,user_name,video_id,followers,views,likes,comments,shares
"CompoundCoin USD (COMP1-USD)
Word Searched: compound",spacs.ai,6932620674951384326,28100,2976,119,34,40
ConocoPhillips (COP),hccapital,6940807359002578182,46500,1199,53,4,2
"ContextLogic Inc. (WISH)
Word Searched: With",investodaily,6940708690198564102,13400,1747,50,2,10
"Copper May 21 (HG=F)
Word Searched: copper",ceowatchlist,6940398799714012421,508100,19000,596,177,28
"CrowdStrike Holdings, Inc. (CRWD)",tradelikegates,6940740376441392390,28500,12800,433,31,69
"Customers Bancorp, Inc (CUBI)
Word Searched: customers",coincapital,6935149838841531653,3563,240,15,0,3
"DB Gold Short ETN due February  (DGZ)
Word Searched: February",stockvip,6926323575376858373,179400,89700,5655,212,643
DMC Global Inc. (BOOM),moneylinemark,6940726488970824966,721000,47700,3766,126,174
"DONGHUA TESTING TE (300354.SZ)
Word Searched: don t",stockmarket_507,6934532298616360198,4642,1924,51,6,8
"Dave & Buster's Entertainment,  (PLAY)
Word Searched: Plays",thestockexperience,6935440626443980038,16700,21800,983,30,189
"Dave & Buster's Entertainment,  (PLAY)
Word Searched: plays",mainstreetwolf,6940774618357714181,257300,2193,165,10,3
"Delubac Pricing Power I (0P0000X18U.F)
Word Searched: pricing",mok.investments,6940424674245479686,4423,2368,39,15,7
Denison Mines Corp. (DNN),mikeoptions,6940742393868193029,7199,185,12,0,0
"Dick's Sporting Goods Inc (DKS)
Word Searched: goods",coincapital,6935149838841531653,3563,240,15,0,3
Direxion All Cap Insider Sentiment Shares (KNOW),assetentities,6940696614826708229,513800,52600,3577,76,31
Direxion Daily Cnsmr Staples Bull 3XShrs (NEED),llamas1115,6940026359137766662,803,178,6,10,2
"Direxion Daily Consumer Staples (NEED)
Word Searched: NEEDS",zhangsta,6940447356865285382,114400,35300,3859,293,289
Direxion Daily Healthcare Bull 3X Shares (CURE),sodapreneur,6937789671447612678,6805,5812,222,27,61
"Direxion Daily Semiconductor Bu (SOXL)
Word Searched: DAILY",zhangsta,6940447356865285382,114400,35300,3859,293,289
"Direxion Daily Semiconductor Bu (SOXL)
Word Searched: daily",stockstv,6896942242049674501,2377,627,15,4,0
Direxion Moonshot Innovators ETF (MOON),matthewhirayama,6928132692047432965,7933,113600,6982,273,86
Direxion Moonshot Innovators ETF (MOON),thediamondhandz,6940810105168366854,52600,1179,81,0,2
Direxion Moonshot Innovators ETF (MOON),stockmarkethacks,6938802589395913989,5774,1956,106,3,6
"DocuSign, Inc. (DOCU)",beermonies_trading,6934871830276607237,2324,314,30,0,1
"Dodge & Cox Stock Fund (DODGX)
Word Searched: DODGE",themarketplays,6922971295789403398,2516,722,22,6,1
